Area Code,Block Number,Field,Structure Name,Structure Number,Struc Type Code,Authority Type,Authority Number,Authority Status,Bus Asc Name,Complex Id Num,Maj Struc Flag,Install Date,Removal Date,Site Clear Date,District Code,Heliport Flag,Lease Number,Water Depth (feet),INCs,Latitude,Longitude,Nad Year Cd,Proj Code,Ptfrm X Location,Ptfrm Y Location,Surf N S Dist,Surf N S Code,Surf E W Dist,Surf E W Code,Attended 8 Hr,Manned 24 Hr
,,,7,1,CAIS,OCS Lease,G04858,TERMIN,"EnVen Energy Ventures, LLC",17,N,10/11/1996,7/21/2011,8/23/2011,3,N,,13,7,29.26495865,-91.57076754,27,72,1924289.20,217648.26,5750,S,600,E,N,N
AC,   25,AC025,A-Hoover Spar,1,SPAR,OCS Lease,G10380,UNIT,Exxon Mobil Corporation,183,Y,4/25/2000,,,4,Y,G10380,4825,89,26.93905139,-94.68872137,27,15,1090370,9778974,5694,S,2590,E,Y,Y
AC,  857,AC857,A(Perdido),1,SPAR,OCS Lease,G17565,UNIT,Shell Offshore Inc.,2008,Y,11/12/2009,,,4,Y,G17565,7835,25,26.12890071,-94.89791489,27,15,1017859,9485480,2680,N,4099,W,Y,Y
BA,  544,BA544,B,1,FIXED,OCS Lease,G10226,TERMIN,ATP Oil & Gas Corporation,74,N,10/4/1997,8/16/2017,8/23/2017,4,Y,G10226,116,24,28.25635349,-95.56508722,27,71,3105747.81,170054,3734,S,10112,W,N,N
BA,  538,BA538,A-VALVE(DOT),1,FIXED,Right-of-Way,G04976,ACT,"Transcontinental Gas Pipe Line Company, LLC",10002,N,1/1/1969,,,4,Y,,95,3,28.314639,-95.620576,27,71,3087277.81,190717,7283,N,8358,E,N,N
BA,A 133,BA133A,A,1,FIXED,OCS Lease,G02665,OPERNS,GOM Shelf LLC,10075,Y,1/1/1976,,,4,Y,G02665,200,54,27.854496,-96.036418,27,71,2957756.81,19831,3929,N,4681,W,Y,Y
BA,A 132,BA133A,A,1,FIXED,OCS Lease,G02664,TERMIN,Atlantic Richfield Company,10148,Y,1/1/1980,11/15/1992,11/15/1992,4,N,G02664,200,6,27.82282,-95.989565,27,71,2973191.81,8703,783,S,4276,W,N,N
BA,  578,BA578,B,1,FIXED,OCS Lease,G04557,TERMIN,Brock Minerals Corporation,10201,Y,1/1/1982,6/19/2002,7/23/2002,4,Y,G04557,123,16,28.207455,-95.618613,27,71,3089035.81,151780,1300,S,6600,E,N,N
BA,A  23,BA023A,JA,1,FIXED,Time Extension,,,Newfield Exploration Company,10220,Y,1/1/1982,8/16/2009,9/11/2009,4,Y,G03938,131,40,28.14049,-95.72203,27,71,3056419.81,126493,7693,S,7536,E,N,N
BA,  437,BA437,7,1,FIXED,Right-of-Use and Easement,G23623,TERMIN,"Energy Resource Technology, Inc.",10263,Y,1/1/1985,9/5/2009,5/6/2010,4,Y,G22056,60,25,28.516346,-95.6435,27,71,3077799.81,263812,2452,S,1996,E,N,N
